Id,Date,Name,Active,JobTitle,Affiliation,Institution,GrossSalary_Year,GrossSalary_Month,GrossSalary_Month_Base,GrossSalary_Month_Supplement,GrossSalary_Month_Diets,BirthDate
"72,08-11-2021,Jose Antonio Jimenez Barragan,1,Alcalde Del Ayuntamiento De Montemayor Del Río,PP,Ayuntamiento De Montemayor Del Río,""0,00"",""0,00"",,,,"
"73,08-11-2021,Jose Maria Monsalvo Zorita,1,Alcalde Del Ayuntamiento De Poveda De Las Cintas,Cs,Ayuntamiento De Poveda De Las Cintas,""0,00"",""0,00"",,,,"
"74,08-11-2021,Juan Ruiz Barrionuevo,1,Alcalde Del Ayuntamiento De Saldeana,PSOE,Ayuntamiento De Saldeana,""135,00"",""9,64"",,,,"
"75,08-11-2021,Jose Antonio Sanchez Gil,1,Alcalde Del Ayuntamiento De Tabera De Abajo,PP,Ayuntamiento De Tabera De Abajo,""0,00"",""0,00"",,,,"
"76,08-11-2021,Julia Rivas Sanchez,1,Alcaldesa Del Ayuntamiento De Topas,PSOE,Ayuntamiento De Topas,""14.405,31"",""1.028,95"",,,,"
"77,08-11-2021,Vicente Jose Gonzalez Lopez,1,Alcalde Del Ayuntamiento De Villaflores,PP,Ayuntamiento De Villaflores,""0,00"",""0,00"",,,,"
"78,08-11-2021,Luisa Maria De Paz Palacios,1,Alcaldesa Del Ayuntamiento De Vitigudino,PP,Ayuntamiento De Vitigudino,""23.198,00"",""1.657,00"",,,,"
"79,08-11-2021,Mariano Fernandez Berzal,1,Alcalde Del Ayuntamiento De Basardilla,I.U.,Ayuntamiento De Basardilla,""0,00"",""0,00"",,,,"
"80,08-11-2021,Maria Del Pilar Martin San Pedro,1,Alcaldesa Del Ayuntamiento De Brieva,PP,Ayuntamiento De Brieva,""500,00"",""35,71"",,,,"
"81,08-11-2021,Jose Ignacio Cristobal Requero,1,Alcalde Del Ayuntamiento De Santo Domingo De Pirón,PP,Ayuntamiento De Santo Domingo De Pirón,""0,00"",""0,00"",,,,"
"82,08-11-2021,Rafael Alfonso Recio Fernández,1,Alcalde Del Ayuntamiento De Camas,PSOE-A,Ayuntamiento De Camas,""49.800,00"",""3.557,14"",,,,"
"83,08-11-2021,José López Ocaña,1,Alcalde Del Ayuntamiento De Coronil El,PSOE-A,Ayuntamiento De Coronil El,""0,00"",""0,00"",,,,"
"84,08-11-2021,Juan Lora Martin,1,Alcalde Del Ayuntamiento De La Lantejuela,PSOE-A,Ayuntamiento De La Lantejuela,""616,00"",""44,00"",,,,"
"85,08-11-2021,Francisco López Sánchez,1,Alcalde Del Ayuntamiento De Pruna,JxP,Ayuntamiento De Pruna,""36.000,00"",""2.571,43"",,,,"
"86,08-11-2021,Juan Carlos Navarro Antúnez,1,Alcalde Del Ayuntamiento De San Nicolás Del Puerto,PSOE-A,Ayuntamiento De San Nicolás Del Puerto,""11.285,40"",""806,10"",,,,"
"87,08-11-2021,Susana Garrido Gandullo,1,Alcaldesa Del Ayuntamiento De Villamanrique De La Condesa,PSOE-A,Ayuntamiento De Villamanrique De La Condesa,""37.520,00"",""2.680,00"",,,,"
"88,08-11-2021,Martín Torres Castro,1,Alcalde Del Ayuntamiento De Villanueva Del Ariscal,PP,Ayuntamiento De Villanueva Del Ariscal,""45.896,90"",""3.278,35"",,,,"
"89,08-11-2021,José María Martín Vera,1,Alcalde Del Ayuntamiento De Villaverde Del Río,PSOE-A,Ayuntamiento De Villaverde Del Río,""33.748,26"",""2.410,59"",,,,"
"90,08-11-2021,Josep Sans Ferré,1,Alcalde Del Ayuntamiento De Figuerola Del Camp,EF-FIC,Ayuntamiento De Figuerola Del Camp,""9467,28"",""676,23"",,,,"
"91,08-11-2021,Montserrat Feliu Roig,1,Alcaldesa Del Ayuntamiento De Pont D'Armentera El,JUNTS,Ayuntamiento De Pont D'Armentera El,""1549,86"",""110,70"",,,,"
"92,08-11-2021,Pere Segura Xatruch,1,Alcalde Del Ayuntamiento De Vila-Seca,VS-JUNTS,Ayuntamiento De Vila-Seca,""59.539,76"",""4.252,84"",,,,"
